dp,depto_nom,anio,pib_miles_millones,pob_total,pib_pc,ln_pib_pc,expulsados_total,recibidos_total,eventos_total,expulsados_adol,tasa_expulsion,tasa_expul_adol,ln_expulsados,ln_expul_adol,expul_acum,cuartil_conflicto,alta_intensidad
08,Atlántico,2019,38689.99370682553,2608908,14829957.095775524,16.512159821040175,219,1029,239,34,0.08394316702620407,0.013032272506351316,5.393627546352362,3.5553480614894135,23881,1,0
08,Atlántico,2020,36205.210717097456,2693388,13442255.893728439,16.413913728209916,94,423,98,17,0.03490028172695504,0.0063117530782791035,4.553876891600541,2.8903717578961645,23881,1,0
08,Atlántico,2021,40607.357145230155,2741296,14813196.803712608,16.511029017354055,289,752,289,43,0.10542458749438222,0.015686011288091474,5.66988092298052,3.784189633918261,23881,1,0
08,Atlántico,2022,44372.49262887849,2774009,15995799.807743412,16.58783673372571,596,1280,611,66,0.21485150192375008,0.023792280414375006,6.391917113392602,4.204692619390966,23881,1,0
11,"Bogotá, D.C.",1993,99371.00770544187,5138233,19339529.310064737,16.777661710054414,52,2112,52,1,0.010120210586012741,1.9461943434639884e-4,3.970291913552122,0.6931471805599453,15536,1,0
11,"Bogotá, D.C.",1994,109658.44796553116,5296708,20703132.58075226,16.845795579189495,77,2124,77,0,0.014537331489672452,0,4.356708826689592,0,15536,1,0
11,"Bogotá, D.C.",1995,112207.26139660245,5455819,20566529.3142244,16.839175521784448,125,2963,125,4,0.02291131725594269,7.331621521901662e-4,4.836281906951478,1.6094379124341003,15536,1,0
11,"Bogotá, D.C.",1996,114100.91818587673,5614203,20323618.185141634,16.827294225116106,158,4645,165,6,0.028142908263203165,0.0010687180353115126,5.0689042022202315,1.9459101490553132,15536,1,0
11,"Bogotá, D.C.",1997,116927.90673952177,5768738,20269235.09778426,16.824614782037056,224,7931,231,12,0.038829983264970606,0.0020801776749091398,5.41610040220442,2.5649493574615367,15536,1,0
11,"Bogotá, D.C.",1998,118523.66049284147,5916230,20033646.51016635,16.812923743502143,222,9802,223,7,0.037523896129798874,0.0011831859140026672,5.407171771460119,2.0794415416798357,15536,1,0
11,"Bogotá, D.C.",1999,106409.62758207286,6055303,17572964.983267207,16.68187219853101,246,9566,249,13,0.04062554755724032,0.0021468785294476594,5.5093883366279774,2.6390573296152584,15536,1,0
11,"Bogotá, D.C.",2000,107152.36565606175,6184880,17324889.998845853,16.66765475374712,339,14457,344,18,0.054811087684805526,0.002910323239901178,5.8289456176102075,2.9444389791664403,15536,1,0
11,"Bogotá, D.C.",2001,111744.65370150736,6304362,17724974.184779897,16.690485173951497,419,29369,428,27,0.0664619195407878,0.0042827489918884735,6.040254711277414,3.332204510175204,15536,1,0
11,"Bogotá, D.C.",2002,115941.44929154031,6414904,18073762.17813085,16.709971841126354,673,57632,677,44,0.10491193632827553,0.006859027040778787,6.513230110912307,3.8066624897703196,15536,1,0
11,"Bogotá, D.C.",2003,121857.71407757887,6518528,18694053.94555011,16.743716060435176,423,31947,439,21,0.064891951066253,0.0032215862231473116,6.049733455231958,3.091042453358316,15536,1,0
11,"Bogotá, D.C.",2004,126904.93536805597,6616513,19180032.649834733,16.76938032970356,589,30741,603,38,0.08901969965146295,0.005743206429126641,6.380122536899765,3.6635616461296463,15536,1,0
11,"Bogotá, D.C.",2005,135214.85999954457,6710910,20148513.39081355,16.81864106650446,1122,39521,1132,84,0.16719044064068808,0.012516931384864347,7.023758954738443,4.442651256490317,15536,1,0
11,"Bogotá, D.C.",2006,144141.3272246188,6801343,21193068.37261682,16.869184722622194,1173,47771,1179,91,0.1724659379772495,0.01337971044836292,7.068172000388042,4.5217885770490405,15536,1,0
11,"Bogotá, D.C.",2007,153258.83069861625,6884569,22261209.19096261,16.918356223583526,1414,56368,1423,148,0.20538685863995262,0.02149735154081541,7.254884810077338,5.003946305945459,15536,1,0
11,"Bogotá, D.C.",2008,158292.9343518808,6960512,22741564.751541384,16.93970485445325,1530,49982,1543,140,0.21981141617168393,0.020113462917670424,7.333676395657684,4.948759890378168,15536,1,0
11,"Bogotá, D.C.",2009,161609.20423553154,7031399,22983933.10286211,16.95030596904105,1184,29436,1189,136,0.1683875427919821,0.01934181234772767,7.077498053569231,4.919980925828125,15536,1,0
11,"Bogotá, D.C.",2010,167408.94535518353,7096886,23589070.664962567,16.97629405531164,589,21120,589,86,0.08299414701039301,0.012117990904743291,6.380122536899765,4.465908118654584,15536,1,0
11,"Bogotá, D.C.",2011,176869.71708896477,7152656,24727837.755508553,17.023440201607432,503,36509,504,59,0.0703235273722097,0.008248684125169726,6.222576268071369,4.0943445622221,15536,1,0
11,"Bogotá, D.C.",2012,183103.76718077803,7195980,25445285.726305246,17.052041047114955,742,23371,743,125,0.10311312705149264,0.017370809813256845,6.610696044717759,4.836281906951478,15536,1,0
11,"Bogotá, D.C.",2013,190160.1686253778,7228427,26307268.320670288,17.08535582096972,628,29733,629,113,0.08687920622287532,0.01563272341271483,6.444131256700441,4.736198448394496,15536,1,0
11,"Bogotá, D.C.",2014,198995.5951380746,7252949,27436508.25865101,17.127385102675824,731,32824,741,112,0.10078659039240452,0.015441994697605071,6.595780513961311,4.727387818712341,15536,1,0
11,"Bogotá, D.C.",2015,206478.40891632767,7273265,28388682.237802096,17.161501110950677,635,17389,661,105,0.08730604480931191,0.014436432606264175,6.455198563340122,4.663439094112067,15536,1,0
11,"Bogotá, D.C.",2016,210682.96893131113,7300918,28857051.802432396,17.177864950943935,425,9564,425,52,0.05821185774172508,0.007122392006046363,6.054439346269371,3.970291913552122,15536,1,0
11,"Bogotá, D.C.",2017,214483.69005150103,7337449,29231370.473784693,17.190753021851634,311,7010,329,51,0.042385303121016585,0.0069506445632535226,5.7430031878094825,3.9512437185814275,15536,1,0
11,"Bogotá, D.C.",2018,221651.98815448463,7391056,29989217.799795404,17.216348468350883,249,7631,264,40,0.03368936725685748,0.005411946547286341,5.521460917862246,3.713572066704308,15536,1,0
